                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.4101,                  3.372,                 2.1883,                0.50427,                 0.1095,                0.07896,                0.04613,                 1.5003,                 4.0914,                 2.3817,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     33,                 1.3596,                 3.2796,                 2.1398,                0.66905,                0.10836,                0.10358,                0.06082,                   1.49,                 2.7536,                 2.3402,             2.3229e-05,             2.3229e-05,             2.3229e-05
                     34,                 1.3445,                 3.2834,                 2.1313,                0.68092,                0.11266,                0.11261,                0.06841,                 1.4432,                 2.6951,                 2.3032,             2.2892e-05,             2.2892e-05,             2.2892e-05
                     35,                 1.3098,                 3.2635,                 2.0992,                0.68199,                0.11028,                0.11777,                0.07126,                 1.4217,                 2.6412,                 2.2723,             2.2556e-05,             2.2556e-05,             2.2556e-05
                     36,                 1.3385,                 3.1969,                  2.111,                0.62727,                0.12109,                0.12248,                0.07199,                 1.4666,                 2.6367,                 2.2983,             2.2219e-05,             2.2219e-05,             2.2219e-05
                     37,                 1.3087,                 3.1954,                 2.0655,                0.64721,                0.13319,                0.13522,                0.08445,                 1.3798,                 2.5642,                 2.2015,             2.1882e-05,             2.1882e-05,             2.1882e-05
                     38,                 1.2828,                 3.1434,                 2.0434,                0.72819,                0.13081,                0.14094,                 0.0819,                 1.4406,                 2.5814,                 2.2467,             2.1546e-05,             2.1546e-05,             2.1546e-05
                     39,                 1.2649,                 3.1532,                 2.0279,                 0.6184,                0.12334,                0.12531,                0.07659,                 1.4162,                 2.8261,                 2.2361,             2.1209e-05,             2.1209e-05,             2.1209e-05
                     40,                 1.2539,                 3.1414,                 2.0231,                0.59198,                0.13579,                 0.1401,                0.08504,                   1.37,                 2.5806,                 2.1784,             2.0873e-05,             2.0873e-05,             2.0873e-05
                     41,                 1.2451,                 3.0911,                 1.9866,                 0.7032,                0.12735,                  0.151,                0.09394,                 1.3429,                 2.4907,                 2.1197,             2.0536e-05,             2.0536e-05,             2.0536e-05
                     42,                  1.223,                 3.0436,                 1.9672,                0.71459,                0.13952,                 0.1596,                0.09801,                  1.365,                 2.5046,                 2.1514,             2.0199e-05,             2.0199e-05,             2.0199e-05
                     43,                 1.2094,                 3.0239,                 1.9575,                0.64093,                0.15077,                 0.1676,                0.10193,                 1.3225,                 2.4704,                 2.1149,             1.9863e-05,             1.9863e-05,             1.9863e-05
                     44,                    1.2,                 2.9825,                 1.9503,                0.68909,                0.16033,                0.17676,                0.10837,                 1.3326,                 2.3955,                 2.1064,             1.9526e-05,             1.9526e-05,             1.9526e-05
                     45,                 1.1901,                 2.9777,                  1.943,                 0.6093,                0.18117,                0.19366,                 0.1229,                 1.2834,                 2.3522,                 2.0578,              1.919e-05,              1.919e-05,              1.919e-05
                     46,                 1.1621,                 2.9423,                 1.9069,                0.63009,                0.17928,                 0.2028,                0.12858,                 1.2818,                 2.3204,                 2.0358,             1.8853e-05,             1.8853e-05,             1.8853e-05
                     47,                 1.1631,                 2.8951,                 1.9054,                 0.6747,                0.16033,                0.18313,                0.11817,                 1.2973,                 2.4221,                 2.0545,             1.8516e-05,             1.8516e-05,             1.8516e-05
                     48,                 1.1701,                 2.9234,                 1.8905,                0.67959,                 0.1738,                0.21181,                0.13527,                  1.263,                 2.2941,                 2.0127,              1.818e-05,              1.818e-05,              1.818e-05
                     49,                 1.1581,                 2.8819,                 1.8893,                0.62306,                0.19248,                0.20696,                0.13073,                 1.2569,                 2.2947,                 2.0187,             1.7843e-05,             1.7843e-05,             1.7843e-05
                     50,                 1.1524,                 2.8786,                 1.8795,                0.62492,                0.19389,                0.21114,                0.13142,                 1.2411,                 2.2558,                 1.9906,             1.7507e-05,             1.7507e-05,             1.7507e-05
                     51,                 1.1443,                 2.8436,                 1.8673,                0.57908,                0.20028,                 0.2153,                0.13775,                 1.2619,                 2.3039,                 1.9965,              1.717e-05,              1.717e-05,              1.717e-05
                     52,                 1.1101,                 2.8106,                 1.8563,                0.55045,                0.19991,                0.20789,                0.12885,                 1.2585,                  2.339,                 1.9841,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     53,                 1.1129,                 2.8091,                  1.851,                0.60194,                0.21349,                0.22662,                0.14402,                 1.2146,                 2.2139,                 1.9475,             1.6497e-05,             1.6497e-05,             1.6497e-05
                     54,                 1.1185,                 2.8243,                 1.8443,                0.64917,                0.19157,                 0.2216,                0.14044,                 1.2249,                 2.2256,                 1.9648,              1.616e-05,              1.616e-05,              1.616e-05
                     55,                 1.1058,                 2.7849,                   1.84,                0.59549,                  0.233,                0.24731,                0.15713,                 1.1996,                 2.1402,                 1.9182,             1.5824e-05,             1.5824e-05,             1.5824e-05
                     56,                 1.1019,                 2.7654,                 1.8332,                0.57404,                0.21648,                0.23449,                 0.1476,                  1.199,                 2.1591,                 1.9289,             1.5487e-05,             1.5487e-05,             1.5487e-05
                     57,                 1.0909,                 2.7578,                 1.8115,                0.58128,                0.23291,                0.24482,                0.16066,                 1.1748,                 2.1328,                 1.8986,              1.515e-05,              1.515e-05,              1.515e-05
