                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4702,                  1.182,                 1.8398,                0.70306,                0.63326,                0.69378,                0.39749,                 1.4957,                  1.066,                   1.65,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4208,                 1.1226,                 1.7703,                0.74027,                0.63083,                0.70305,                 0.4145,                 1.4065,                 0.9751,                 1.5742,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4048,                 1.1069,                 1.7335,                0.70816,                0.63768,                0.71014,                0.39337,                 1.5413,                 1.0161,                 1.6843,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3622,                 1.0679,                 1.6908,                0.76905,                 0.6131,                0.70757,                0.41018,                 1.4401,                0.95285,                   1.59,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.3923,                 1.0674,                 1.7383,                 0.7063,                0.64978,                 0.7181,                 0.4132,                  1.394,                0.96946,                 1.5777,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.421,                 1.0926,                 1.7379,                0.66429,                0.62803,                0.69477,                0.38029,                  1.451,                0.97724,                 1.6246,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4229,                 1.1043,                 1.7373,                0.73515,                0.68481,                0.74591,                0.41131,                 1.4529,                0.96751,                 1.6154,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3567,                 1.0268,                 1.6294,                0.72673,                0.62613,                0.69638,                0.40709,                  1.382,                0.97855,                 1.5487,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3233,                 1.0309,                 1.6596,                0.86242,                0.64655,                0.75384,                0.43569,                 1.3769,                 1.0006,                 1.5269,             0.00099036,             0.00099036,             0.00099036
                     43,                  1.301,                0.99918,                 1.6333,                0.69115,                0.65296,                0.70833,                0.42786,                 1.3119,                 0.9666,                 1.5093,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3265,                0.97867,                 1.6433,                0.74316,                0.70847,                0.77129,                0.42999,                 1.3723,                0.90899,                 1.5335,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3127,                0.98325,                 1.6321,                 0.7698,                0.70672,                0.77238,                0.44487,                 1.3153,                0.89903,                 1.5065,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.3059,                 0.9816,                 1.6383,                 0.7949,                0.67539,                0.75449,                0.41786,                 1.5009,                0.92157,                 1.6077,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2656,                0.97758,                  1.626,                0.71026,                0.64226,                0.71189,                 0.4161,                 1.3766,                 0.8956,                 1.5504,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2401,                0.94478,                 1.6206,                0.74876,                0.73246,                 0.7596,                0.42981,                 1.3938,                0.90592,                 1.5819,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2462,                0.91581,                 1.5659,                0.81133,                0.68964,                0.79631,                0.46381,                 1.3048,                0.87806,                 1.4888,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2018,                0.92238,                 1.5518,                 0.8306,                0.69995,                0.78187,                0.45961,                 1.2926,                0.93687,                 1.4829,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2291,                0.95416,                  1.589,                0.83341,                0.69918,                0.77407,                0.45237,                 1.3967,                 0.8655,                 1.5309,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2569,                0.91064,                 1.6044,                0.80878,                0.64588,                0.75137,                0.45517,                 1.2647,                0.85979,                 1.4703,             0.00082533,             0.00082533,             0.00082533
