                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2556,                 2.1613,                   2.29,                 0.2732,                 0.3565,                0.24434,                0.08575,                 2.3375,                 2.1496,                 2.5516,             0.00016429,             0.00016429,             0.00016429
                     35,                 2.2472,                 2.1654,                 2.2849,                0.31798,                0.33643,                0.24305,                0.08871,                 2.3032,                 2.1786,                  2.498,             0.00016187,             0.00016187,             0.00016187
                     36,                   2.24,                 2.1376,                  2.271,                 0.2899,                0.35203,                0.24216,                0.08964,                 2.2792,                   2.16,                 2.4795,             0.00015945,             0.00015945,             0.00015945
                     37,                 2.2169,                 2.1276,                 2.2711,                0.25963,                0.38526,                0.24525,                0.08836,                 2.2842,                 2.1391,                 2.4871,             0.00015704,             0.00015704,             0.00015704
                     38,                 2.2216,                 2.1342,                 2.2594,                0.25469,                0.33753,                 0.2485,                0.09119,                 2.3012,                 2.1579,                 2.4913,             0.00015462,             0.00015462,             0.00015462
                     39,                 2.2033,                 2.1263,                 2.2548,                0.24255,                0.37996,                0.24151,                0.08733,                 2.2856,                   2.15,                 2.4959,             0.00015221,             0.00015221,             0.00015221
                     40,                 2.1945,                 2.1102,                  2.236,                0.25282,                0.39024,                 0.2512,                0.09356,                 2.2661,                 2.1458,                 2.4634,             0.00014979,             0.00014979,             0.00014979
                     41,                 2.2125,                 2.1189,                 2.2385,                0.24423,                0.37156,                0.24593,                0.08669,                 2.2629,                 2.1533,                 2.4716,             0.00014738,             0.00014738,             0.00014738
                     42,                 2.1957,                 2.1023,                 2.2356,                0.26531,                0.36093,                0.25846,                0.09463,                 2.2773,                 2.1068,                 2.4641,             0.00014496,             0.00014496,             0.00014496
                     43,                 2.1815,                 2.0953,                   2.23,                0.24134,                0.36122,                0.23871,                0.08332,                 2.2629,                 2.1401,                 2.4709,             0.00014254,             0.00014254,             0.00014254
                     44,                 2.1631,                 2.0893,                 2.2128,                0.28048,                0.34397,                0.24348,                0.08891,                 2.2529,                 2.1287,                  2.444,             0.00014013,             0.00014013,             0.00014013
                     45,                 2.1698,                 2.0793,                 2.2031,                 0.2261,                0.37291,                0.24991,                0.08896,                 2.2529,                  2.123,                 2.4469,             0.00013771,             0.00013771,             0.00013771
                     46,                 2.1535,                 2.0799,                  2.201,                0.29061,                0.36349,                0.26395,                 0.0937,                  2.237,                 2.1223,                 2.4437,              0.0001353,              0.0001353,              0.0001353
                     47,                 2.1669,                 2.0692,                 2.1945,                0.25865,                0.38456,                0.25761,                0.09096,                 2.2238,                 2.1084,                 2.4354,             0.00013288,             0.00013288,             0.00013288
                     48,                 2.1484,                 2.0686,                 2.1918,                0.30239,                0.33824,                0.25107,                0.09112,                 2.2259,                  2.128,                 2.4261,             0.00013047,             0.00013047,             0.00013047
                     49,                 2.1328,                 2.0518,                 2.1722,                0.29542,                0.36444,                0.26574,                0.09356,                 2.2418,                 2.0933,                 2.4466,             0.00012805,             0.00012805,             0.00012805
                     50,                  2.111,                 2.0632,                 2.1799,                0.27926,                0.35842,                0.27775,                0.10369,                 2.2132,                 2.1083,                 2.4126,             0.00012564,             0.00012564,             0.00012564
                     51,                 2.1203,                 2.0566,                 2.1702,                0.28557,                 0.3822,                 0.2753,                0.10771,                 2.2252,                 2.0924,                 2.4352,             0.00012322,             0.00012322,             0.00012322
                     52,                 2.1213,                 2.0365,                 2.1565,                0.28652,                 0.3708,                0.26689,                0.09734,                 2.2326,                 2.1142,                  2.432,              0.0001208,              0.0001208,              0.0001208
                     53,                 2.1012,                 2.0299,                 2.1605,                0.28959,                0.38421,                0.26714,                0.10009,                 2.2188,                 2.1083,                 2.4253,             0.00011839,             0.00011839,             0.00011839
                     54,                 2.1158,                 2.0267,                 2.1536,                0.24878,                0.41659,                0.26662,                0.10266,                 2.2068,                 2.0831,                 2.4255,             0.00011597,             0.00011597,             0.00011597
                     55,                  2.093,                  2.016,                 2.1472,                0.24738,                 0.3794,                0.26366,                0.10252,                 2.2069,                 2.1113,                 2.4263,             0.00011356,             0.00011356,             0.00011356
                     56,                 2.1011,                 2.0168,                 2.1482,                0.27071,                0.36793,                 0.2717,                0.10521,                 2.2018,                 2.0847,                 2.4249,             0.00011114,             0.00011114,             0.00011114
                     57,                 2.0771,                 2.0209,                 2.1494,                0.28748,                0.35294,                0.26075,                0.10058,                 2.2039,                 2.0932,                 2.4093,             0.00010873,             0.00010873,             0.00010873
                     58,                 2.0836,                 2.0017,                 2.1393,                0.26361,                0.36312,                 0.2625,                0.09995,                  2.206,                 2.0988,                 2.4215,             0.00010631,             0.00010631,             0.00010631
                     59,                   2.07,                 1.9974,                 2.1407,                0.31224,                  0.361,                0.27668,                0.10271,                  2.201,                 2.0642,                 2.4052,              0.0001039,              0.0001039,              0.0001039
                     60,                  2.085,                 1.9833,                 2.1218,                0.26904,                0.39413,                0.29233,                0.10499,                 2.1806,                 2.0728,                 2.3954,             0.00010148,             0.00010148,             0.00010148
                     61,                 2.0703,                 1.9842,                 2.1178,                0.27151,                0.40247,                0.26974,                0.10221,                 2.1859,                 2.0788,                 2.4071,             9.9064e-05,             9.9064e-05,             9.9064e-05
                     62,                 2.0624,                  1.971,                  2.116,                 0.2692,                0.38076,                0.27356,                0.10615,                 2.1862,                 2.0611,                 2.4059,             9.6648e-05,             9.6648e-05,             9.6648e-05
                     63,                 2.0537,                  1.973,                 2.1091,                0.27253,                0.38746,                0.27548,                0.10558,                 2.1807,                 2.0768,                 2.4026,             9.4233e-05,             9.4233e-05,             9.4233e-05
                     64,                 2.0405,                 1.9656,                  2.104,                0.29897,                0.39561,                0.27902,                0.10717,                  2.182,                  2.069,                 2.4002,             9.1817e-05,             9.1817e-05,             9.1817e-05
